# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Step	Time		S	I
0	0.0000		999	1
100	1.0000		928	72
200	2.0000		657	343
300	3.0000		298	702
400	4.0000		134	866
500	5.0000		109	891
600	6.0000		140	860
700	7.0000		137	863
800	8.0000		112	888
900	9.0000		118	882
1000	10.0000		125	875
1100	11.0000		128	872
1200	12.0000		122	878
1300	13.0000		146	854
1400	14.0000		116	884
1500	15.0000		136	864
1600	16.0000		136	864
1700	17.0000		125	875
1800	18.0000		133	867
1900	19.0000		145	855
2000	20.0000		106	894
2100	21.0000		126	874
2200	22.0000		108	892
2300	23.0000		112	888
2400	24.0000		110	890
2500	25.0000		139	861
2600	26.0000		117	883
2700	27.0000		120	880
2800	28.0000		128	872
2900	29.0000		129	871
3000	30.0000		106	894
3100	31.0000		124	876
3200	32.0000		129	871
3300	33.0000		129	871
3400	34.0000		108	892
3500	35.0000		124	876
3600	36.0000		117	883
3700	37.0000		133	867
3800	38.0000		110	890
3900	39.0000		134	866
4000	40.0000		127	873
4100	41.0000		97	903
4200	42.0000		129	871
4300	43.0000		122	878
4400	44.0000		139	861
4500	45.0000		120	880
4600	46.0000		140	860
4700	47.0000		119	881
4800	48.0000		132	868
4900	49.0000		118	882
5000	50.0000		132	868
5100	51.0000		115	885
5200	52.0000		123	877
5300	53.0000		130	870
5400	54.0000		126	874
5500	55.0000		116	884
5600	56.0000		147	853
5700	57.0000		117	883
5800	58.0000		116	884
5900	59.0000		137	863
6000	60.0000		113	887
6100	61.0000		123	877
6200	62.0000		145	855
6300	63.0000		134	866
6400	64.0000		138	862
6500	65.0000		113	887
6600	66.0000		102	898
6700	67.0000		111	889
6800	68.0000		122	878
6900	69.0000		110	890
7000	70.0000		128	872
7100	71.0000		141	859
7200	72.0000		110	890
7300	73.0000		140	860
7400	74.0000		113	887
7500	75.0000		119	881
7600	76.0000		126	874
7700	77.0000		121	879
7800	78.0000		130	870
7900	79.0000		118	882
8000	80.0000		134	866
8100	81.0000		119	881
8200	82.0000		107	893
8300	83.0000		108	892
8400	84.0000		108	892
8500	85.0000		145	855
8600	86.0000		114	886
8700	87.0000		117	883
8800	88.0000		153	847
8900	89.0000		123	877
9000	90.0000		117	883
9100	91.0000		149	851
9200	92.0000		112	888
9300	93.0000		128	872
9400	94.0000		123	877
9500	95.0000		115	885
9600	96.0000		120	880
9700	97.0000		126	874
9800	98.0000		124	876
9900	99.0000		120	880
10000	100.0000		125	875
10100	101.0000		109	891
10200	102.0000		138	862
10300	103.0000		113	887
10400	104.0000		129	871
10500	105.0000		138	862
10600	106.0000		125	875
10700	107.0000		111	889
10800	108.0000		122	878
10900	109.0000		126	874
11000	110.0000		104	896
11100	111.0000		110	890
11200	112.0000		130	870
11300	113.0000		132	868
11400	114.0000		116	884
11500	115.0000		149	851
11600	116.0000		141	859
11700	117.0000		121	879
11800	118.0000		122	878
11900	119.0000		126	874
12000	120.0000		113	887
